operator,api_number,basin,production_month,flared_gas_mcf,gross_gas_production_mcf,flaring_intensity,cumulative_flared_mcf
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2014-01-01,11106.0,11155.0,0.9956073509636935,11106.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2014-02-01,40980.0,42688.0,0.9599887556221889,52086.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2014-03-01,17805.0,19419.0,0.9168855244863279,69891.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2014-04-01,6770.0,6868.0,0.9857309260337799,76661.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2014-05-01,17174.0,17391.0,0.9875222816399287,93835.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2014-06-01,18463.0,18673.0,0.9887538156696835,112298.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2014-07-01,15178.0,15395.0,0.9859045144527444,127476.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2014-08-01,18514.0,18731.0,0.9884149271261545,145990.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2014-09-01,15095.0,15305.0,0.9862789937928781,161085.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2014-10-01,10054.0,10271.0,0.9788725537922306,171139.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2014-11-01,9820.0,10996.0,0.8930520189159694,180959.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2014-12-01,3045.0,3415.0,0.8916544655929722,184004.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2015-01-01,11838.0,13149.0,0.9002966005019393,195842.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2015-02-01,14599.0,19814.0,0.7368022610275563,210441.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2015-03-01,1819.0,4459.0,0.40793899977573445,212260.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2015-04-01,892.0,1164.0,0.7663230240549829,213152.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2015-05-01,8024.0,8220.0,0.9761557177615572,221176.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2015-06-01,472.0,500.0,0.944,221648.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2015-07-01,868.0,5816.0,0.14924346629986246,222516.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2015-08-01,4031.0,4108.0,0.9812560856864654,226547.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2015-09-01,4557.0,4718.0,0.9658753709198813,231104.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2015-10-01,4195.0,4258.0,0.9852043212775952,235299.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2015-11-01,6356.0,6545.0,0.9711229946524064,241655.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2015-12-01,4125.0,4342.0,0.9500230308613542,245780.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2016-01-01,4224.0,4441.0,0.9511371312767395,250004.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2016-02-01,1172.0,1284.0,0.9127725856697819,251176.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2016-03-01,23599.0,23809.0,0.9911798059557311,274775.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2016-04-01,16677.0,16887.0,0.987564398649849,291452.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2016-05-01,16780.0,16997.0,0.9872330411249044,308232.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2016-06-01,15450.0,15660.0,0.9865900383141762,323682.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2016-07-01,14368.0,14585.0,0.9851217003770998,338050.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2016-08-01,2452.0,2592.0,0.9459876543209876,340502.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2016-09-01,13.0,55.0,0.23636363636363636,340515.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2016-10-01,2020.0,2230.0,0.905829596412556,342535.0
"PETRO-HUNT, L.L.C.",33-053-03624-0000,Bakken,2016-12-01,3722.0,3834.0,0.9707876890975482,346257.0
