api_number,production_month,oil_production_bbl,gas_production_mcf,water_production_bbl,water_cut_pct,gor_mcf_per_bbl,days_on_production
33-053-03639-0000,2014-11-01,7959.0,352.16666,2294.0,22.37393933482883,0.04424760145746953,30.0
33-053-03639-0000,2015-02-01,6108.0,2423.1667,2086.0,25.457651940444226,0.3967201538965292,27.0
33-053-03639-0000,2015-07-01,3202.0,46.666668,979.0,23.415450849079168,0.014574224859462836,23.0
33-053-03639-0000,2015-10-01,4429.0,141.83333,1855.0,29.519414385741566,0.03202378189207496,31.0
33-053-03639-0000,2016-03-01,3725.0,135.66667,1561.0,29.530836171017782,0.036420582550335576,31.0
33-053-03639-0000,2016-05-01,4169.0,144.5,1422.0,25.43373278483277,0.03466059006956104,31.0
33-053-03639-0000,2016-10-01,2429.0,245.66667,645.0,20.982433311646066,0.10113901605599013,22.0
33-053-03639-0000,2016-11-01,3886.0,921.66669,1442.0,27.064564564564563,0.23717619402985074,30.0
33-053-03639-0000,2016-12-01,3340.0,104.0,1019.0,23.376921312227577,0.031137724550898204,26.0
33-053-03639-0000,2017-05-01,2235.0,479.16666,956.0,29.959260419931056,0.21439224161073825,24.0
33-053-03639-0000,2018-02-01,3613.0,600.66669,1283.0,26.205065359477125,0.16625150567395516,28.0
33-053-03639-0000,2018-04-01,2745.0,75.666664,1036.0,27.40015868817773,0.02756526921675774,30.0
33-053-03639-0000,2018-11-01,2222.0,312.5,3468.0,60.94903339191564,0.14063906390639064,30.0
33-053-03639-0000,2019-09-01,1046.0,201.0,1056.0,50.23786869647955,0.1921606118546845,30.0
33-053-03639-0000,2020-01-01,423.0,2.1666667,400.0,48.60267314702308,0.005122143498817967,9.0
33-053-03639-0000,2020-03-01,1360.0,6.8333335,864.0,38.84892086330935,0.0050245099264705885,23.0
33-053-03639-0000,2020-04-01,2497.0,12.5,1797.0,41.84909175593852,0.005006007208650381,30.0
33-053-03639-0000,2020-06-01,1159.0,126.16666,960.0,45.30438886267107,0.10885820534943917,27.0
33-053-03639-0000,2020-07-01,1824.0,225.0,1261.0,40.87520259319287,0.12335526315789473,31.0
33-053-03639-0000,2021-03-01,2726.0,622.83331,1074.0,28.26315789473684,0.2284788371239912,31.0
33-053-03639-0000,2021-08-01,1949.0,9.666667,1462.0,42.86133098798006,0.004959808619805028,31.0
33-053-03639-0000,2021-10-01,1777.0,8.833333,1078.0,37.75831873905429,0.004970924592009004,31.0
33-053-03639-0000,2022-09-01,1276.387,460.61649,,,0.3608752596195355,
33-053-03639-0000,2022-10-01,1309.955,156.25951,,,0.11928616631869035,
33-053-03639-0000,2022-12-01,1292.72,468.34067,,,0.36229088278977656,
33-053-03639-0000,2023-02-01,1153.0341,138.235,,,0.11988804147249418,
33-053-03639-0000,2023-03-01,1268.287,152.2455,,,0.12004025902654525,
33-053-03639-0000,2023-08-01,1229.2531,148.46133,,,0.12077360634681338,
33-053-03639-0000,2023-10-01,1214.5,445.38583,,,0.36672361465623715,
33-053-03639-0000,2024-10-01,1134.356,139.1595,,,0.12267709607918502,
