api_number,production_month,production_year,production_quarter,oil_and_gas_group,production,operator,basin,shale_play,well_name,well_length_ft
33-053-03391-0000,2024-05-01,2024,Q2,O,2030.224,"PEAK NORTH DAKOTA, LLC",Bakken,Bakken,33-053-03391-0000,
33-053-03391-0000,2024-09-01,2024,Q3,O,1887.674,"PEAK NORTH DAKOTA, LLC",Bakken,Bakken,33-053-03391-0000,
33-053-03493-0000,2024-02-01,2024,Q1,O,1835.493,BURLINGTON RESOURCES OIL & GAS COMPANY LP,Three Forks,Three Forks,33-053-03493-0000,
33-053-03493-0000,2024-08-01,2024,Q3,O,1838.912,BURLINGTON RESOURCES OIL & GAS COMPANY LP,Three Forks,Three Forks,33-053-03493-0000,
33-053-03493-0000,2024-10-01,2024,Q4,G,6.8150001,BURLINGTON RESOURCES OIL & GAS COMPANY LP,Three Forks,Three Forks,33-053-03493-0000,
33-053-03730-0000,2024-07-01,2024,Q3,G,395.25616,"SLAWSON EXPLORATION COMPANY, INC.",Middle Bakken / Three Forks Shale,Middle Bakken / Three Forks Shale,33-053-03730-0000,
33-053-03730-0000,2024-10-01,2024,Q4,O,1916.5959,"SLAWSON EXPLORATION COMPANY, INC.",Middle Bakken / Three Forks Shale,Middle Bakken / Three Forks Shale,33-053-03730-0000,
33-053-03784-0000,2024-02-01,2024,Q1,O,647.479,ENERPLUS RESOURCES USA CORPORATION,Bakken,Bakken,33-053-03784-0000,
33-053-03784-0000,2024-06-01,2024,Q2,O,645.75702,ENERPLUS RESOURCES USA CORPORATION,Bakken,Bakken,33-053-03784-0000,
33-053-03784-0000,2024-08-01,2024,Q3,O,655.36603,ENERPLUS RESOURCES USA CORPORATION,Bakken,Bakken,33-053-03784-0000,
33-053-03785-0000,2024-01-01,2024,Q1,O,2047.229,ENERPLUS RESOURCES USA CORPORATION,Bakken,Bakken,33-053-03785-0000,
33-053-03785-0000,2024-03-01,2024,Q1,O,2017.2889,ENERPLUS RESOURCES USA CORPORATION,Bakken,Bakken,33-053-03785-0000,
33-053-03785-0000,2024-06-01,2024,Q2,O,1910.028,ENERPLUS RESOURCES USA CORPORATION,Bakken,Bakken,33-053-03785-0000,
33-053-03785-0000,2024-08-01,2024,Q3,G,281.34332,ENERPLUS RESOURCES USA CORPORATION,Bakken,Bakken,33-053-03785-0000,
33-053-03785-0000,2024-08-01,2024,Q3,O,1945.176,ENERPLUS RESOURCES USA CORPORATION,Bakken,Bakken,33-053-03785-0000,
33-053-03850-0000,2024-01-01,2024,Q1,O,1157.772,"PETRO-HUNT, L.L.C.",Bakken,Bakken,33-053-03850-0000,
33-053-03850-0000,2024-09-01,2024,Q3,O,1058.71,"PETRO-HUNT, L.L.C.",Bakken,Bakken,33-053-03850-0000,
33-053-04101-0000,2024-01-01,2024,Q1,G,546.14368,"CONTINENTAL RESOURCES, INC.",Three Forks,Three Forks,33-053-04101-0000,
33-053-04101-0000,2024-06-01,2024,Q2,G,495.75784,"CONTINENTAL RESOURCES, INC.",Three Forks,Three Forks,33-053-04101-0000,
33-053-04101-0000,2024-09-01,2024,Q3,O,1238.849,"CONTINENTAL RESOURCES, INC.",Three Forks,Three Forks,33-053-04101-0000,
33-053-04102-0000,2024-03-01,2024,Q1,O,2083.7749,"CONTINENTAL RESOURCES, INC.",Bakken,Bakken,33-053-04102-0000,
33-053-04102-0000,2024-07-01,2024,Q3,O,1989.787,"CONTINENTAL RESOURCES, INC.",Bakken,Bakken,33-053-04102-0000,
33-053-04272-0000,2024-01-01,2024,Q1,G,61.180332,HESS CORPORATION,Three Forks,Three Forks,33-053-04272-0000,
33-053-04272-0000,2024-01-01,2024,Q1,O,1536.671,HESS CORPORATION,Three Forks,Three Forks,33-053-04272-0000,
33-053-04272-0000,2024-03-01,2024,Q1,G,60.648834,HESS CORPORATION,Three Forks,Three Forks,33-053-04272-0000,
33-053-04272-0000,2024-06-01,2024,Q2,G,1091.5334,HESS CORPORATION,Three Forks,Three Forks,33-053-04272-0000,
33-053-04272-0000,2024-06-01,2024,Q2,O,1442.078,HESS CORPORATION,Three Forks,Three Forks,33-053-04272-0000,
33-053-04272-0000,2024-09-01,2024,Q3,G,57.199165,HESS CORPORATION,Three Forks,Three Forks,33-053-04272-0000,
33-053-04272-0000,2024-10-01,2024,Q4,G,58.855499,HESS CORPORATION,Three Forks,Three Forks,33-053-04272-0000,
33-053-04311-0000,2024-03-01,2024,Q1,G,102.07484,ENERPLUS RESOURCES USA CORPORATION,Three Forks,Three Forks,33-053-04311-0000,
33-053-04311-0000,2024-06-01,2024,Q2,G,694.52002,ENERPLUS RESOURCES USA CORPORATION,Three Forks,Three Forks,33-053-04311-0000,
33-053-04311-0000,2024-08-01,2024,Q3,G,708.92932,ENERPLUS RESOURCES USA CORPORATION,Three Forks,Three Forks,33-053-04311-0000,
33-053-04311-0000,2024-10-01,2024,Q4,O,1460.571,ENERPLUS RESOURCES USA CORPORATION,Three Forks,Three Forks,33-053-04311-0000,
33-053-04379-0000,2024-02-01,2024,Q1,O,753.36401,"CONTINENTAL RESOURCES, INC.",Bakken,Bakken,33-053-04379-0000,
33-053-04379-0000,2024-04-01,2024,Q2,O,762.633,"CONTINENTAL RESOURCES, INC.",Bakken,Bakken,33-053-04379-0000,
33-053-04379-0000,2024-05-01,2024,Q2,G,391.26001,"CONTINENTAL RESOURCES, INC.",Bakken,Bakken,33-053-04379-0000,
33-053-04379-0000,2024-07-01,2024,Q3,G,44.289665,"CONTINENTAL RESOURCES, INC.",Bakken,Bakken,33-053-04379-0000,
33-053-04379-0000,2024-08-01,2024,Q3,G,380.09601,"CONTINENTAL RESOURCES, INC.",Bakken,Bakken,33-053-04379-0000,
33-053-04398-0000,2024-01-01,2024,Q1,O,3036.228,"PETRO-HUNT, L.L.C.",Bakken,Bakken,33-053-04398-0000,
33-053-04398-0000,2024-04-01,2024,Q2,G,1103.2532,"PETRO-HUNT, L.L.C.",Bakken,Bakken,33-053-04398-0000,
33-053-04398-0000,2024-10-01,2024,Q4,G,103.20067,"PETRO-HUNT, L.L.C.",Bakken,Bakken,33-053-04398-0000,
